取引先ID,取引先名,住所,代表者名,資本金(円),従業員数,設立年月日,取引開始日,主要連絡先,担当者ID(自社)
V00001,サプライヤーX,東京都千代田区...,山田太郎,50000000,150,1995-04-01,1998-05-10,03-xxxx-xxxx,EMP001
V00026,取引先Z,神奈川県横浜市...,佐藤一郎,10000000,50,2010-08-15,2018-11-20,045-xxx-xxxx,EMP003
V00027,取引先Y,埼玉県さいたま市...,加藤恵子,5000000,30,2012-03-10,2019-01-15,048-xxx-xxxx,EMP003
V00030,取引先W,大阪府大阪市...,鈴木三郎,30000000,80,2005-02-10,2022-03-15,06-xxxx-xxxx,EMP004
V00035,取引先V,東京都港区...,高橋直樹,20000000,65,2008-11-20,2023-04-01,03-yyyy-yyyy,EMP005
V00040,取引先U,千葉県千葉市...,伊藤健一,8000000,40,2015-07-01,2024-09-01,043-xxx-xxxx,EMP004
V00042,取引先T,東京都渋谷区...,渡辺久美子,50000000,120,2002-06-12,2024-11-01,03-zzzz-zzzz,EMP005
V00045,イベント会社R,東京都新宿区...,中村譲二,25000000,70,2009-01-20,2020-08-10,03-aaaa-aaaa,EMP005
V00055,コンサルY,東京都渋谷区...(レンタルオフィス),田中良子,1000000,3,2024-11-01,2025-01-10,090-xxxx-xxxx,EMP002
V00056,デザイン事務所S,東京都目黒区...,小林あゆみ,3000000,5,2019-05-15,2025-02-01,03-bbbb-bbbb,EMP002
V00057,取引先Q,愛知県名古屋市...,山本博,15000000,55,2013-10-01,2023-07-20,052-xxx-xxxx,EMP003
V00058,取引先P,福岡県福岡市...,木村真一,12000000,48,2011-09-05,2022-11-11,092-xxx-xxxx,EMP004
V00059,取引先O,北海道札幌市...,林美穂,9000000,35,2016-02-20,2024-05-30,011-xxx-xxxx,EMP005
V00060,ダミー取引先1,ダミー住所1,ダミー代表1,1000000,1,2023-01-01,2024-01-01,000-000-0000,EMP999
V00061,ダミー取引先2,ダミー住所2,ダミー代表2,2000000,2,2023-02-01,2024-02-01,000-000-0000,EMP999
V00062,ダミー取引先3,ダミー住所3,ダミー代表3,3000000,3,2023-03-01,2024-03-01,000-000-0000,EMP999
V00063,ダミー取引先4,ダミー住所4,ダミー代表4,4000000,4,2023-04-01,2024-04-01,000-000-0000,EMP999
V00064,ダミー取引先5,ダミー住所5,ダミー代表5,5000000,5,2023-05-01,2024-05-01,000-000-0000,EMP999
V00065,ダミー取引先6,ダミー住所6,ダミー代表6,6000000,6,2023-06-01,2024-06-01,000-000-0000,EMP999
V00066,ダミー取引先7,ダミー住所7,ダミー代表7,7000000,7,2023-07-01,2024-07-01,000-000-0000,EMP999
V00070,サプライヤーX関連会社A,東京都千代田区...,山田太郎,5000000,20,2018-08-10,2025-03-05,03-xxxx-xxxx,EMP001
V00071,サプライヤーX関連会社B,東京都千代田区...,山田太郎,5000000,20,2018-08-10,2025-04-15,03-xxxx-xxxx,EMP001
